item, vendorA , vendorB 
ELECTRONICS-1,127,149.95
ELECTRONICS-2,28,49.95
ELECTRONICS-3,136.25,149.99
ELECTRONICS-4,32.88,34.99
ELECTRONICS-5,197,199.99
ELECTRONICS-6,38,49.95
ELECTRONICS-7,12,15
ELECTRONICS-8,59.5,80.99
ELECTRONICS-9,5.5,12
ELECTRONICS-10,14.5,99.99
ELECTRONICS-11,18.04,19
ELECTRONICS-12,14.02,15
ELECTRONICS-13,34.21,19.99
ELECTRONICS-14,26.9,39.99
ELECTRONICS-15,27,29
ELECTRONICS-16,297,199
ELECTRONICS-17,47,49.95
ELECTRONICS-18,102.21,109.99
ELECTRONICS-19,184.95,139.99
ELECTRONICS-20,2543.21,1999.95
ELECTRONICS-21,247,249
ELECTRONICS-22,206.13,189.99
ELECTRONICS-23,734.41,479.99
ELECTRONICS-24,428.4,479
ELECTRONICS-25,297,299.95
ELECTRONICS-26,92.5,109.99
ELECTRONICS-27,19.74,19.99
ELECTRONICS-28,713.5,528
ELECTRONICS-29,247,349.96
ELECTRONICS-30,28.25,29.99
ELECTRONICS-31,239.4,119.85
ELECTRONICS-32,22.75,19.99
ELECTRONICS-33,22.5,29.99
ELECTRONICS-34,104.25,34.99
ELECTRONICS-35,127,129.99
ELECTRONICS-36,32,39.99
ELECTRONICS-37,35,49.99
ELECTRONICS-38,15,34.99
ELECTRONICS-39,45,49.99
ELECTRONICS-40,19,8.95
ELECTRONICS-41,276.25,179.99
ELECTRONICS-42,923.25,699.99
ELECTRONICS-43,955.5,799.99
ELECTRONICS-44,747.75,799.99
ELECTRONICS-45,3875.25,2199.99
ELECTRONICS-46,247,129.99
ELECTRONICS-47,18,20
ELECTRONICS-48,35,24.95
ELECTRONICS-49,35,19.99
ELECTRONICS-50,277.25,299.99
ELECTRONICS-51,915.75,899.99
ELECTRONICS-52,645.5,549.99
ELECTRONICS-53,297,199.95
ELECTRONICS-54,397,399.95
ELECTRONICS-55,10.38,10.69
ELECTRONICS-56,26.73,29
ELECTRONICS-57,18.58,20
ELECTRONICS-58,116,129.95
ELECTRONICS-59,28,29
ELECTRONICS-60,208,229.99
ELECTRONICS-61,288,229.99
ELECTRONICS-62,814,879.99
ELECTRONICS-63,913.75,999.99
ELECTRONICS-64,65.22,49.99
ELECTRONICS-65,119.25,129.99
ELECTRONICS-66,847.51,677.99
ELECTRONICS-67,625.33,599.99
ELECTRONICS-68,498,499.95
ELECTRONICS-69,1145.25,899.99
ELECTRONICS-70,1697.59,1209.99
