Word,Length,Has_an_e
a,1,FALSE
a,1,FALSE
a,1,FALSE
a,1,FALSE
a,1,FALSE
a,1,FALSE
a,1,FALSE
a,1,FALSE
a,1,FALSE
a,1,FALSE
a,1,FALSE
a,1,FALSE
A,1,FALSE
a,1,FALSE
a,1,FALSE
a,1,FALSE
abdicated,9,TRUE
abolish,7,FALSE
abolishing,10,FALSE
abolishing,10,FALSE
abolishing,10,FALSE
absolute,8,TRUE
absolute,8,TRUE
absolute,8,TRUE
Absolved,8,TRUE
abuses,6,TRUE
accommodation,13,FALSE
accordingly,11,FALSE
accustomed,10,TRUE
acquiesce,9,TRUE
act,3,FALSE
Acts,4,FALSE
Acts,4,FALSE
Administration,14,FALSE
affected,8,TRUE
after,5,TRUE
against,7,FALSE
against,7,FALSE
ages,4,TRUE
ages,4,TRUE
all,3,FALSE
all,3,FALSE
all,3,FALSE
all,3,FALSE
all,3,FALSE
all,3,FALSE
all,3,FALSE
all,3,FALSE
all,3,FALSE
all,3,FALSE
Allegiance,10,TRUE
Alliances,9,TRUE
alone,5,TRUE
already,7,TRUE
alter,5,TRUE
alter,5,TRUE
altering,8,TRUE
America,7,TRUE
among,5,FALSE
among,5,FALSE
among,5,FALSE
among,5,FALSE
among,5,FALSE
amongst,7,FALSE
amount,6,FALSE
an,2,FALSE
an,2,FALSE
an,2,FALSE
an,2,FALSE
an,2,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
and,3,FALSE
And,3,FALSE
and,3,FALSE
Annihilation,12,FALSE
another,7,TRUE
answered,8,TRUE
any,3,FALSE
any,3,FALSE
appealed,8,TRUE
appealing,9,TRUE
Appropriations,14,FALSE
Arbitrary,9,FALSE
are,3,TRUE
are,3,TRUE
are,3,TRUE
are,3,TRUE
are,3,TRUE
are,3,TRUE
are,3,TRUE
are,3,TRUE
