words,length,has_an_e
a,1,0
a,1,0
a,1,0
a,1,0
a,1,0
a,1,0
a,1,0
above,5,1
add,3,0
advanced,8,1
ago,3,0
all,3,0
altogether,10,1
and,3,0
and,3,0
and,3,0
and,3,0
and,3,0
and,3,0
any,3,0
are,3,1
are,3,1
are,3,1
as,2,0
battlefield,11,1
be,2,1
be,2,1
before,6,1
birth,5,0
brave,5,1
brought,7,0
But,3,0
but,3,0
by,2,0
can,3,0
can,3,0
cannot,6,0
cannot,6,0
cannot,6,0
cause,5,1
civil,5,0
come,4,1
conceived,9,1
conceived,9,1
consecrate,10,1
consecrated,11,1
continent,9,1
created,7,1
dead,4,1
dead,4,1
dead,4,1
dedicate,8,1
dedicate,8,1
dedicated,9,1
dedicated,9,1
dedicated,9,1
dedicated,9,1
detract,7,1
devotion,8,1
devotion,8,1
did,3,0
died,4,1
do,2,0
earth,5,1
endure,6,1
engaged,7,1
equal,5,1
far,3,0
far,3,0
fathers,7,1
field,5,1
final,5,0
fitting,7,0
for,3,0
for,3,0
for,3,0
for,3,0
for,3,0
forget,6,1
forth,5,0
fought,6,0
Four,4,0
freedom,7,1
from,4,0
from,4,0
full,4,0
gave,4,1
gave,4,1
God,3,0
government,10,1
great,5,1
great,5,1
great,5,1
ground,6,0
hallow,6,0
have,4,1
have,4,1
have,4,1
have,4,1
have,4,1
here,4,1
here,4,1
here,4,1
here,4,1
here,4,1
here,4,1
here,4,1
here,4,1
highly,6,0
honored,7,1
in,2,0
in,2,0
in,2,0
in,2,0
increased,9,1
is,2,0
is,2,0
is,2,0
it,2,0
It,2,0
It,2,0
It,2,0
it,2,0
larger,6,1
last,4,0
liberty,7,1
little,6,1
live,4,1
lives,5,1
living,6,0
living,6,0
long,4,0
long,4,0
measure,7,1
men,3,1
men,3,1
met,3,1
might,5,0
nation,6,0
nation,6,0
nation,6,0
nation,6,0
nation,6,0
never,5,1
new,3,1
new,3,1
nobly,5,0
nor,3,0
not,3,0
not,3,0
note,4,1
Now,3,0
of,2,0
of,2,0
of,2,0
of,2,0
of,2,0
on,2,0
on,2,0
or,2,0
or,2,0
our,3,0
our,3,0
people,6,1
people,6,1
people,6,1
perish,6,1
place,5,1
poor,4,0
portion,7,0
power,5,1
proper,6,1
proposition,11,0
rather,6,1
rather,6,1
remaining,9,1
remember,8,1
resolve,7,1
resting,7,1
say,3,0
score,5,1
sense,5,1
seven,5,1
shall,5,0
shall,5,0
shall,5,0
should,6,0
so,2,0
so,2,0
so,2,0
struggled,9,1
take,4,1
task,4,0
testing,7,1
that,4,0
that,4,0
that,4,0
that,4,0
that,4,0
that,4,0
that,4,0
that,4,0
that,4,0
that,4,0
that,4,0
that,4,0
that,4,0
The,3,1
the,3,1
the,3,1
the,3,1
the,3,1
the,3,1
the,3,1
the,3,1
the,3,1
the,3,1
The,3,1
their,5,1
these,5,1
these,5,1
they,4,1
they,4,1
they,4,1
this,4,0
this,4,0
this,4,0
this,4,0
those,5,1
thus,4,0
to,2,0
to,2,0
to,2,0
to,2,0
to,2,0
to,2,0
to,2,0
to,2,0
under,5,1
unfinished,10,1
us,2,0
us,2,0
us,2,0
vain,4,0
war,3,0
war,3,0
we,2,1
we,2,1
we,2,1
We,2,1
we,2,1
we,2,1
We,2,1
we,2,1
we,2,1
we,2,1
what,4,0
what,4,0
whether,7,1
which,5,0
which,5,0
who,3,0
who,3,0
who,3,0
will,4,0
work,4,0
world,5,0
years,5,1
