CATEGORY/ITEM #, VENDOR A , VENDOR B 
ELECTRONICS-1, $127.00 , $149.95 
ELECTRONICS-2, $28.00 , $49.95 
ELECTRONICS-3, $136.25 , $149.99 
ELECTRONICS-4, $32.88 , $34.99 
ELECTRONICS-5, $197.00 , $199.99 
ELECTRONICS-6, $38.00 , $49.95 
ELECTRONICS-7, $12.00 , $15.00 
ELECTRONICS-8, $59.50 , $80.99 
ELECTRONICS-9, $5.50 , $12.00 
ELECTRONICS-10, $14.50 , $99.99 
ELECTRONICS-11, $18.04 , $19.00 
ELECTRONICS-12, $14.02 , $15.00 
ELECTRONICS-13, $34.21 , $19.99 
ELECTRONICS-14, $26.90 , $39.99 
ELECTRONICS-15, $27.00 , $29.00 
ELECTRONICS-16, $297.00 , $199.00 
ELECTRONICS-17, $47.00 , $49.95 
ELECTRONICS-18, $102.21 , $109.99 
ELECTRONICS-19, $184.95 , $139.99 
ELECTRONICS-20," $2,543.21 "," $1,999.95 "
ELECTRONICS-21, $247.00 , $249.00 
ELECTRONICS-22, $206.13 , $189.99 
ELECTRONICS-23, $734.41 , $479.99 
ELECTRONICS-24, $428.40 , $479.00 
ELECTRONICS-25, $297.00 , $299.95 
ELECTRONICS-26, $92.50 , $109.99 
ELECTRONICS-27, $19.74 , $19.99 
ELECTRONICS-28, $713.50 , $528.00 
ELECTRONICS-29, $247.00 , $349.96 
ELECTRONICS-30, $28.25 , $29.99 
ELECTRONICS-31, $239.40 , $119.85 
ELECTRONICS-32, $22.75 , $19.99 
ELECTRONICS-33, $22.50 , $29.99 
ELECTRONICS-34, $104.25 , $34.99 
ELECTRONICS-35, $127.00 , $129.99 
ELECTRONICS-36, $32.00 , $39.99 
ELECTRONICS-37, $35.00 , $49.99 
ELECTRONICS-38, $15.00 , $34.99 
ELECTRONICS-39, $45.00 , $49.99 
ELECTRONICS-40, $19.00 , $8.95 
ELECTRONICS-41, $276.25 , $179.99 
ELECTRONICS-42, $923.25 , $699.99 
ELECTRONICS-43, $955.50 , $799.99 
ELECTRONICS-44, $747.75 , $799.99 
ELECTRONICS-45," $3,875.25 "," $2,199.99 "
ELECTRONICS-46, $247.00 , $129.99 
ELECTRONICS-47, $18.00 , $20.00 
ELECTRONICS-48, $35.00 , $24.95 
ELECTRONICS-49, $35.00 , $19.99 
ELECTRONICS-50, $277.25 , $299.99 
ELECTRONICS-51, $915.75 , $899.99 
ELECTRONICS-52, $645.50 , $549.99 
ELECTRONICS-53, $297.00 , $199.95 
ELECTRONICS-54, $397.00 , $399.95 
ELECTRONICS-55, $10.38 , $10.69 
ELECTRONICS-56, $26.73 , $29.00 
ELECTRONICS-57, $18.58 , $20.00 
ELECTRONICS-58, $116.00 , $129.95 
ELECTRONICS-59, $28.00 , $29.00 
ELECTRONICS-60, $208.00 , $229.99 
ELECTRONICS-61, $288.00 , $229.99 
ELECTRONICS-62, $814.00 , $879.99 
ELECTRONICS-63, $913.75 , $999.99 
ELECTRONICS-64, $65.22 , $49.99 
ELECTRONICS-65, $119.25 , $129.99 
ELECTRONICS-66, $847.51 , $677.99 
ELECTRONICS-67, $625.33 , $599.99 
ELECTRONICS-68, $498.00 , $499.95 
ELECTRONICS-69," $1,145.25 ", $899.99 
ELECTRONICS-70," $1,697.59 "," $1,209.99 "
ELECTRONICS-71," $1,197.58 "," $1,209.99 "
ELECTRONICS-72, $439.75 , $449.99 
ELECTRONICS-73, $570.00 , $229.99 
ELECTRONICS-74, $297.00 , $304.99 
ELECTRONICS-75," $2,798.00 "," $1,499.99 "
ELECTRONICS-76, $127.00 , $149.95 
ELECTRONICS-77," $1,197.00 ", $799.99 
ELECTRONICS-78, $397.00 , $299.99 
ELECTRONICS-79, $28.00 , $49.99 
ELECTRONICS-80, $38.00 , $59.99 
ELECTRONICS-81, $117.40 , $91.98 
ELECTRONICS-82, $47.40 , $44.99 
ELECTRONICS-83, $150.50 , $44.99 
ELECTRONICS-84, $110.40 , $119.99 
ELECTRONICS-85, $247.00 , $249.95 
ELECTRONICS-86, $233.20 , $249.99 
ELECTRONICS-87, $569.00 , $999.99 
ELECTRONICS-88, $776.50 , $549.99 
ELECTRONICS-89, $628.20 , $629.99 
ELECTRONICS-90, $121.60 , $129.99 
ELECTRONICS-91, $237.40 , $249.99 
ELECTRONICS-92, $282.80 , $299.99 
ELECTRONICS-93, $187.50 , $129.99 
ELECTRONICS-94, $370.20 , $99.99 
ELECTRONICS-95, $141.60 , $99.99 
ELECTRONICS-96," $1,423.50 "," $1,799.99 "
ELECTRONICS-97, $15.00 , $54.95 
ELECTRONICS-98, $56.40 , $49.95 
ELECTRONICS-99, $284.00 , $299.99 
ELECTRONICS-100, $37.00 , $49.95 
ELECTRONICS-101, $38.00 , $59.95 
ELECTRONICS-102, $28.00 , $49.95 
ELECTRONICS-103, $31.75 , $39.95 
ELECTRONICS-104," $1,097.50 "," $1,399.95 "
ELECTRONICS-105, $63.25 , $99.99 
ELECTRONICS-106, $872.54 , $899.99 
ELECTRONICS-107," $1,250.10 "," $1,299.00 "
ELECTRONICS-108, $247.00 , $249.00 
ELECTRONICS-109, $63.55 , $79.95 
ELECTRONICS-110, $555.87 , $499.99 
ELECTRONICS-111, $147.00 , $150.00 
ELECTRONICS-112, $425.60 , $528.00 
ELECTRONICS-113, $568.40 , $759.99 
ELECTRONICS-114, $21.00 , $20.00 
ELECTRONICS-115, $949.00 , $699.99 
ELECTRONICS-116, $281.80 , $189.98 
ELECTRONICS-117, $127.00 , $129.99 
ELECTRONICS-118, $37.40 , $39.95 
ELECTRONICS-119, $18.50 , $15.96 
ELECTRONICS-120, $28.00 , $10.99 
ELECTRONICS-121, $297.00 , $299.95 
ELECTRONICS-122, $56.80 , $39.95 
ELECTRONICS-123, $38.00 , $39.99 
ELECTRONICS-124, $247.00 , $249.95 
ELECTRONICS-125, $56.40 , $54.95 
ELECTRONICS-126, $38.00 , $39.99 
ELECTRONICS-127, $56.50 , $49.99 
ELECTRONICS-128, $120.00 , $120.00 
ELECTRONICS-129, $165.84 , $169.95 
ELECTRONICS-130, $17.28 , $15.96 
ELECTRONICS-131, $184.57 , $199.99 
ELECTRONICS-132, $294.19 , $194.95 
ELECTRONICS-133, $55.00 , $59.95 
ELECTRONICS-134, $7.00 , $12.95 
ELECTRONICS-135, $34.97 , $30.57 
ELECTRONICS-136, $174.84 , $133.22 
ELECTRONICS-137, $297.00 , $299.99 
ELECTRONICS-138, $321.00 , $399.99 
ELECTRONICS-139, $297.00 , $199.95 
ELECTRONICS-140, $397.00 , $479.97 
ELECTRONICS-141," $1,075.00 "," $1,095.95 "
ELECTRONICS-142, $860.23 , $699.99 
ELECTRONICS-143, $639.75 , $649.99 
ELECTRONICS-144, $90.25 , $129.00 
ELECTRONICS-145, $135.50 , $149.99 
ELECTRONICS-146, $93.25 , $499.99 
ELECTRONICS-147, $108.75 , $119.99 
ELECTRONICS-148, $37.50 , $19.99 
ELECTRONICS-149, $310.25 , $189.98 
ELECTRONICS-150, $118.75 , $119.99 
ELECTRONICS-151, $147.00 , $149.95 
ELECTRONICS-152, $14.75 , $24.99 
ELECTRONICS-153, $37.00 , $29.99 
ELECTRONICS-154, $24.25 , $35.99 
ELECTRONICS-155, $14.75 , $19.99 
ELECTRONICS-156, $18.75 , $19.99 
ELECTRONICS-157, $14.00 , $19.99 
ELECTRONICS-158, $113.00 , $79.99 
ELECTRONICS-159, $70.40 , $79.99 
ELECTRONICS-160, $19.00 , $44.99 
ELECTRONICS-161, $7.60 , $12.00 
ELECTRONICS-162, $151.00 , $189.00 
ELECTRONICS-163, $349.60 , $399.99 
ELECTRONICS-164, $497.00 , $499.99 
ELECTRONICS-165, $127.00 , $129.95 
ELECTRONICS-166, $297.00 , $299.99 
ELECTRONICS-167, $20.00 , $39.99 
ELECTRONICS-168, $469.20 , $699.99 
ELECTRONICS-169, $30.80 , $39.99 
ELECTRONICS-170, $41.00 , $45.03 
ELECTRONICS-171, $297.00 , $299.95 
ELECTRONICS-172, $311.60 , $399.99 
ELECTRONICS-173, $330.60 , $399.99 
ELECTRONICS-174, $190.00 , $349.00 
ELECTRONICS-175, $900.50 , $499.00 
ELECTRONICS-176, $38.22 , $29.99 
ELECTRONICS-177, $5.00 , $9.99 
ELECTRONICS-178, $5.25 , $9.99 
ELECTRONICS-179, $18.57 , $14.99 
ELECTRONICS-180, $37.00 , $29.99 
ELECTRONICS-181, $12.25 , $29.99 
ELECTRONICS-182, $147.00 , $199.99 
ELECTRONICS-183, $1.99 , $1.99 
ELECTRONICS-184, $5.00 , $4.99 
ELECTRONICS-185, $4.53 , $4.99 
ELECTRONICS-186, $397.00 , $399.00 
ELECTRONICS-187, $697.00 , $699.00 
ELECTRONICS-188, $63.00 , $69.00 
ELECTRONICS-189, $47.00 , $79.00 
ELECTRONICS-190, $28.80 , $39.00 
ELECTRONICS-191, $26.00 , $29.00 
ELECTRONICS-192, $27.20 , $29.49 
